ac_name,ac_no.,type,district,winning_candidate,party,total_electors,total_votes,poll_pct,margin,margin_pct
Avanashi,112,SC,Coimbatore,"Dhanapal, P",AIADMK,"265,952","210,255",79.10,"50,902",24.20
Bargur,52,GEN,Krishnagiri,Mathiazhagan D,DMK,"238,180","196,277",82.40,"12,614",6.40
Bhavani,104,GEN,Erode,Karuppanan.K.C,AIADMK,"234,551","199,306",85.00,"22,523",11.30
Bhavanisagar,107,SC,Erode,A.Bannari,AIADMK,"248,797","198,562",79.80,"16,008",8.10
Bhuvanagiri,157,GEN,Cuddalore,Arunmozhithevan. A,AIADMK,"244,178","196,107",80.30,"8,259",4.20
Bodinayakanur,200,GEN,Theni,O.Panneerselvam,AIADMK,"265,296","213,392",80.40,"11,021",5.20
Chengalpattu,32,GEN,Kancheepuram,Varalakshmi.M,DMK,"397,706","271,012",68.10,"26,665",9.80
Chengam,62,SC,Tiruvannamalai,Giri.M.P,DMK,"263,132","222,865",84.70,"11,570",5.20
Chepauk-Thiruvallikeni,19,GEN,Chennai,Udhayanidhi Stalin,DMK,"226,272","135,344",59.80,"69,355",51.20
Cheyyar,68,GEN,Tiruvannamalai,Jothi. O,DMK,"249,307","212,565",85.30,"12,271",5.80
Cheyyur,34,SC,Kancheepuram,Babu M,VCK,"216,506","177,979",82.20,"4,042",2.30
Chidambaram,158,GEN,Cuddalore,K.A. Pandian,AIADMK,"239,757","182,150",76.00,"16,937",9.30
Coimbatore (North),118,GEN,Coimbatore,Amman K.Arjunan,AIADMK,"318,780","201,098",63.10,"4,001",2.00
Coimbatore (South),120,GEN,Coimbatore,Vanathi Srinivasan,BJP,"244,922","153,864",62.80,"1,728",1.10
Colachal,231,GEN,Kanniyakumari,Prince J.G.,INC,"254,691","182,091",71.50,"24,832",13.60
Coonoor,110,GEN,The Nilgiris,"Ramachandran, K.",DMK,"186,493","134,720",72.20,"4,105",3.00
Cuddalore,155,GEN,Cuddalore,G.Iyappan,DMK,"227,937","180,765",79.30,"5,151",2.80
Cumbum,201,GEN,Theni,N.Ramakrishnan,DMK,"274,002","200,616",73.20,"42,413",21.10
Dharapuram,101,SC,Erode,Kayalvizhi N,DMK,"251,040","192,088",76.50,"1,393",0.70
Dharmapuri,59,GEN,Dharmapuri,Venkateshwaran.S.P.,PMK,"256,946","215,607",83.90,"26,860",12.50
Dindigul,132,GEN,Dindigul,Sreenivasan.C,AIADMK,"261,916","193,311",73.80,"17,747",9.20
Dr.Radhakrishnan Nagar,11,GEN,Chennai,Ebenezer. J.J. (@) JOHN EBENEZER.J,DMK,"248,518","185,323",74.60,"42,479",22.90
Edappadi,86,GEN,Salem,Edappadi Palaniswami. K,AIADMK,"274,079","246,192",89.80,"93,802",38.10
Egmore,16,SC,Chennai,I.Paranthamen,DMK,"181,071","118,095",65.20,"38,768",32.80
Erode (East),98,GEN,Erode,"Thirumahan Everaa,e.",INC,"218,783","150,491",68.80,"8,904",5.90
Erode (West),99,GEN,Erode,Muthusamy S,DMK,"272,477","203,611",74.70,"22,089",10.80
Gandarvakkottai,178,SC,Pudukkottai,M.Chinnadurai,CPI(M),"191,615","156,230",81.50,"12,721",8.10
Gangavalli,81,SC,Salem,"Nallathambi,a.",AIADMK,"228,181","185,252",81.20,"7,361",4.00
Gingee,70,GEN,Viluppuram,Masthan K S,DMK,"253,786","204,601",80.60,"35,803",17.50
Gobichettipalayam,106,GEN,Erode,Sengottaiyan K.A,AIADMK,"247,467","212,974",86.10,"28,563",13.40
Gudalur,109,SC,The Nilgiris,Pon.Jayaseelan,AIADMK,"182,352","137,240",75.30,"1,945",1.40
Gudiyattam,46,SC,Vellore,Amulu.V,DMK,"272,216","209,931",77.10,"6,901",3.30
Gummidipoondi,1,GEN,Thiruvallur,Govindarajan T.J,DMK,"267,255","220,286",82.40,"50,938",23.10
Harbour,18,GEN,Chennai,Sekarbabu. P.K,DMK,"168,538","100,738",59.80,"27,274",27.10
Harur,61,SC,Dharmapuri,Sampathkumar.V,AIADMK,"236,142","196,316",83.10,"30,362",15.50
Hosur,55,GEN,Krishnagiri,Prakaash Y,DMK,"327,242","246,122",75.20,"12,367",5.00
Jayankondam,150,GEN,Perambalur,Kannan Ka So Ka,DMK,"257,745","214,507",83.20,"5,452",2.50
Jolarpet,49,GEN,Vellore,Devaraji.K.,DMK,"231,496","195,021",84.20,"1,091",0.60
Kadayanallur,221,GEN,Tirunelveli,C.Krishnamurali,AIADMK,"275,470","204,318",74.20,"24,349",11.90
Kalasapakkam,65,GEN,Tiruvannamalai,Saravanan.P.S.T,DMK,"231,257","194,841",84.30,"9,222",4.70
Kallakurichi,80,SC,Viluppuram,Senthilkumar.M,AIADMK,"272,974","224,601",82.30,"25,891",11.50
Kancheepuram,37,GEN,Kancheepuram,C.V.M.P. Ezhailzrasan,DMK,"293,532","226,893",77.30,"11,595",5.10
Kangayam,102,GEN,Erode,Saminathan.M.P,DMK,"246,360","198,791",80.70,"7,331",3.70
Kanniyakumari,229,GEN,Kanniyakumari,Thalavai Sundaram N.,AIADMK,"279,721","223,778",80.00,"16,213",7.20
Karaikudi,184,GEN,Sivaganga,S.Mangudi,INC,"301,096","211,107",70.10,"21,589",10.20
Karur,135,GEN,Karur,Senthilbalaji V,DMK,"234,703","206,349",87.90,"12,448",6.00
Katpadi,40,GEN,Vellore,Duraimurugan,DMK,"238,365","184,357",77.30,746,0.40
Kattumannarkoil,159,SC,Cuddalore,Sinthanai Selvan,VCK,"221,278","174,913",79.00,"10,565",6.00
Kavundampalayam,117,GEN,Coimbatore,G.Arunkumar,AIADMK,"429,273","307,026",71.50,"9,776",3.20
Killiyoor,234,GEN,Kanniyakumari,Rajesh Kumar S,INC,"241,595","169,164",70.00,"55,400",32.70
Kilpennathur,64,GEN,Tiruvannamalai,K.Pitchandi,DMK,"244,367","202,925",83.00,"26,787",13.20
